IMAGE NO,URL,KEYWORD
11,https://drive.google.com/uc?export=view&id=15yWeBFtIBpQ-mXWoOSYYDFOVSR1woJ4_,DEPARTURE FROM HOME TO VENUE
12,https://drive.google.com/uc?export=view&id=13YPYThm6Y67XjP9fc7ZCjUGENDWxtU94,DEPARTURE FROM HOME TO VENUE
13,https://drive.google.com/uc?export=view&id=1OOQrr04b5bUrVdckLdZtQoASy_l7xLPD,DEPARTURE FROM HOME TO VENUE
14,https://drive.google.com/uc?export=view&id=1gueRn-xUR-5JNhkSmo0niqwfXZeB7BYc,DEPARTURE FROM HOME TO VENUE
15,https://drive.google.com/uc?export=view&id=14MDOJvnq_6JxZ9XSbzIMJeD6Ji4caUkX,DEPARTURE FROM HOME TO VENUE
16,https://drive.google.com/uc?export=view&id=14mIjjhJoe0tcE4TsAHcADBOeUBayepJ2,DEPARTURE FROM HOME TO VENUE
17,https://drive.google.com/uc?export=view&id=1DYE-hliKPT_uJjGz5vl3g4_-_7gcVt3J,DEPARTURE FROM HOME TO VENUE
18,https://drive.google.com/uc?export=view&id=10bQvo5vCkh7srbIUN-uzjVwTXnM9RdET,DEPARTURE FROM HOME TO VENUE
19,https://drive.google.com/uc?export=view&id=1wvpApleoZ5g8JyYiEdmi-XKF6wADg8DI,DEPARTURE FROM HOME TO VENUE
20,https://drive.google.com/uc?export=view&id=1F6gHDeWXKlmAcmgPUMJO4shEJ-EMXf8Q,DEPARTURE FROM HOME TO VENUE
21,https://drive.google.com/uc?export=view&id=1HM3ZRcZQYbXwsaQdH01JPwewITBlSz7m,DEPARTURE FROM HOME TO VENUE
22,https://drive.google.com/uc?export=view&id=14yTXSsVU2ZMbLqyqvtRbsZAhqXwBI5gT,DEPARTURE FROM HOME TO VENUE
1,https://drive.google.com/uc?export=view&id=1s977u4kTmMdL1Fwm_QaReF0aX5-zHgNP,ARRIVAL AT ORDINATION VENUE
2,https://drive.google.com/uc?export=view&id=1LUXsn0gBr8Ki1adK7tjGHjUjqKPFL2Pa,ARRIVAL AT ORDINATION VENUE
3,https://drive.google.com/uc?export=view&id=1tHQwAEr5jigtdciJyi3mdZ-jh0JxectM,ARRIVAL AT ORDINATION VENUE
4,https://drive.google.com/uc?export=view&id=1usMeG2vKfeWIQZZnSpubSHXmhhat8_dq,ARRIVAL AT ORDINATION VENUE
5,https://drive.google.com/uc?export=view&id=12DDJdqZOUGrcmIHCW1L7TOmHPP9ItwcQ,ARRIVAL AT ORDINATION VENUE
6,https://drive.google.com/uc?export=view&id=1eN61FhPa_LUw-IYD3xudhY4JLCKbjseT,ARRIVAL AT ORDINATION VENUE
7,https://drive.google.com/uc?export=view&id=1yDrDm8xe00POK65Yfy4qOmICrXQLxcSM,ARRIVAL AT ORDINATION VENUE
8,https://drive.google.com/uc?export=view&id=1OdbIB2kLRZ10Znv7XTyVLeUGT9Awn18C,ARRIVAL AT ORDINATION VENUE
9,https://drive.google.com/uc?export=view&id=1rwgBWqUCOtk9Q7SqGTRoXRL1SojC1s0Y,ARRIVAL AT ORDINATION VENUE
10,https://drive.google.com/uc?export=view&id=15BPoxv_-niRZDYRDRLMlg0RnkRdEh7sy,ARRIVAL AT ORDINATION VENUE
11,https://drive.google.com/uc?export=view&id=11tjGKuaOy_AcE-RY2NmDIO3kWZIFTtYC,ARRIVAL AT ORDINATION VENUE
12,https://drive.google.com/uc?export=view&id=1sC-ab4ipQR8IPxGypB3Tfv8v3SSf-Pzp,ARRIVAL AT ORDINATION VENUE
13,https://drive.google.com/uc?export=view&id=1iiFYnx5TEKucUhysSMdaP1E8pyOETqe_,ARRIVAL AT ORDINATION VENUE
14,https://drive.google.com/uc?export=view&id=1kuHNbwYIqWIIsnYOBGq7gDFo2J9B9SYp,ARRIVAL AT ORDINATION VENUE
15,https://drive.google.com/uc?export=view&id=1xUHT7e35VldRagox2TtdkcxXs6PFQEe1,ARRIVAL AT ORDINATION VENUE
16,https://drive.google.com/uc?export=view&id=1ICt3nrWRAu0vTPTzR-mwsIt2_BUDpBsJ,ARRIVAL AT ORDINATION VENUE
17,https://drive.google.com/file/d/1SC9PqSG2NK4KzcOylbty8gToTM3qhT0H/view?usp=share_link,ARRIVAL AT ORDINATION VENUE
18,https://drive.google.com/uc?export=view&id=1nVhigJKKeb-S9wwRlF1o5MywmVjYyqni,ARRIVAL AT ORDINATION VENUE
19,https://drive.google.com/uc?export=view&id=1Q3qotJg7ke7NJgoEucI0SunbmqfnkTh6,ARRIVAL AT ORDINATION VENUE
20,https://drive.google.com/uc?export=view&id=17KQrsPqfS1d3Qh5rWdR6J-VAHjGYxtes,ARRIVAL AT ORDINATION VENUE
21,https://drive.google.com/uc?export=view&id=1UGgYe-Zi3pbPIEAMUiJOZ8lPhv5Szj7c,ARRIVAL AT ORDINATION VENUE
22,https://drive.google.com/uc?export=view&id=1vR_290Bjf2LmuQ3HeNc8fu5iozYclisu,ARRIVAL AT ORDINATION VENUE
23,https://drive.google.com/uc?export=view&id=10R6Fxm3rv-KMfqjxi-IvznxVj8N50MGr,ARRIVAL AT ORDINATION VENUE
24,https://drive.google.com/uc?export=view&id=1r2Sxe9TOIqFvvGLzj5ynuIlfqBcVO_uF,ARRIVAL AT ORDINATION VENUE
25,https://drive.google.com/uc?export=view&id=17fC4UQFK9KJEkIdOq4o8KOoFRKnps7QY,ARRIVAL AT ORDINATION VENUE
26,https://drive.google.com/uc?export=view&id=1M3vc4gtePttsB8oQ09iyGp9H_QiauLtD,ARRIVAL AT ORDINATION VENUE
27,https://drive.google.com/uc?export=view&id=1-oXqFT_Ti7DeoV99CiB-upTm9tkJvg8w,ARRIVAL AT ORDINATION VENUE
28,https://drive.google.com/uc?export=view&id=1IfvKM8XEJrWKEfMCaX022_4oy8x5lWyy,ARRIVAL AT ORDINATION VENUE
29,https://drive.google.com/uc?export=view&id=1JsS5qQuGjZxYbYQWL-aVYmAkRhhY8283,ARRIVAL AT ORDINATION VENUE
30,https://drive.google.com/uc?export=view&id=1_t32l5EwWt31op3cd9ASC73B1c6zJShd,ARRIVAL AT ORDINATION VENUE
31,https://drive.google.com/uc?export=view&id=13BTLfH4x6yO1-w6Lc1Gs54CTX_2Cn3iN,ARRIVAL AT ORDINATION VENUE
1,https://drive.google.com/uc?export=view&id=1jMuvEV1P33h9wy2fjmC13tAQvJAxvh73,PRAYER AND WORSHIP
2,https://drive.google.com/uc?export=view&id=1Mg8tJ0AqNKATkNf_D2IL97Vk-bqla_F1,PRAYER AND WORSHIP
3,https://drive.google.com/uc?export=view&id=18C40LvEOJNSVEscic-aty7_cmExODd1g,PRAYER AND WORSHIP
4,https://drive.google.com/uc?export=view&id=1Hbm3MJo8kgDTQz5yqIR7NildLbmT5qa2,PRAYER AND WORSHIP
5,https://drive.google.com/uc?export=view&id=1bfMo_z9eq_KKw3uOklMaI76ZO6PvxYUJ,PRAYER AND WORSHIP
6,https://drive.google.com/uc?export=view&id=1ldOyVx7iAVnaIk2dChaWxUUt_INxOVrL,PRAYER AND WORSHIP
7,https://drive.google.com/uc?export=view&id=1YsheTw8Fel8osCRJ8dBYFKDleVNb2k4M,PRAYER AND WORSHIP
8,https://drive.google.com/uc?export=view&id=1ot16JcIIiw1HcaUKzwax0n9l3BNfpGcm,PRAYER AND WORSHIP
9,https://drive.google.com/uc?export=view&id=1Ck0aJDSLUrHa6zCOP2o2pU2pYj2nZOGG,PRAYER AND WORSHIP
10,https://drive.google.com/uc?export=view&id=1meuBGl1r_7rdWfTYV2kzXFkYa8Bxnnda,PRAYER AND WORSHIP
1,https://drive.google.com/uc?export=view&id=1cmRqbV_iz3vE_7V49xJxK_m9_uLrovEd,CLEANSING
2,https://drive.google.com/uc?export=view&id=1U5cRKgp67xXrVltP6gkjatuvlgEVl5YD,CLEANSING
3,https://drive.google.com/uc?export=view&id=1vfQRaEqpQ3F0c9Wl7jK3-kY2o1R_XjWy,CLEANSING
4,https://drive.google.com/uc?export=view&id=1KAVeBTumy0EJOpimJIkwDA4VHG4E0YC7,CLEANSING
5,https://drive.google.com/uc?export=view&id=1Betn88Ry2IpKPFvz8m7f-XsiDv2Fmyig,CLEANSING
6,https://drive.google.com/uc?export=view&id=1l-dJtJUpBo34GGxPYXoTFCeWLTPhDotw,CLEANSING
7,https://drive.google.com/uc?export=view&id=1j1RBPIajDIppWGrq87hUcQflfWAIztdv,CLEANSING
8,https://drive.google.com/uc?export=view&id=15ApYV5inpmysppY0-0GbmvrGo2z7Vl-t,CLEANSING
9,https://drive.google.com/uc?export=view&id=1Ypn4IyfmhyWIwPrRE-E_lKvPY2omHMQ6,CLEANSING
10,https://drive.google.com/uc?export=view&id=1aL3_hWcU9r-dH0nnU5vwqFgEsFJm9qUV,CLEANSING
11,https://drive.google.com/uc?export=view&id=1jZPmqpJpDHqD4fVMAG69i1K6FyKLtECk,CLEANSING
12,https://drive.google.com/uc?export=view&id=17kS8xn1zcLK3NwkexTqcpSfzheaq-i2P,CLEANSING
13,https://drive.google.com/uc?export=view&id=134Du2wo0-uWbklBiEd2Itw740DNYxJFo,CLEANSING
14,https://drive.google.com/uc?export=view&id=1tvWKmzgaYPgGoAAmyJ_yN9t4TazrRBjH,CLEANSING
15,https://drive.google.com/uc?export=view&id=1DOy3ISL4GOzwi6ctaO_oNArtx5OKtYUt,CLEANSING
16,https://drive.google.com/uc?export=view&id=19pTN3wNyAU-ebsaZNzHzMRSQygYdzBtc,CLEANSING
17,https://drive.google.com/uc?export=view&id=1BpBCwt4bP0xcPNMLgWeAJkpYd8uX3Pxr,CLEANSING
18,https://drive.google.com/uc?export=view&id=1-PW_guuU0t2uBIE0QZ7BThTnkWe7YT3L,CLEANSING
19,https://drive.google.com/uc?export=view&id=1-yMHSH_gci03F-mSSemYPYh1oQGOE45h,CLEANSING
20,https://drive.google.com/uc?export=view&id=11z3piFoWzeIwkZRXGHV1YJoHl5vmXw70,CLEANSING
21,https://drive.google.com/uc?export=view&id=139yvmacTROdw9to8p8CNgA_6nH9UQtSt,CLEANSING
22,https://drive.google.com/uc?export=view&id=13l-QMHRCcuK1MsAFG0cnvyAWnZ-lQ3Pl,CLEANSING
23,https://drive.google.com/uc?export=view&id=14kVsSV8BJ-PoMwcSrzv3ejrcEjmFTIzJ,CLEANSING
24,https://drive.google.com/uc?export=view&id=15R1da3N1hUwV9Z-otzPb2I5A7fUsgb3S,CLEANSING
25,https://drive.google.com/uc?export=view&id=17FGnjFAXV2ClZj46KRPuYWrmgiZrxHXg,CLEANSING
26,https://drive.google.com/uc?export=view&id=19-wSJqXSwmYAUZYZwZ6KFWVu9uClB1am,CLEANSING
27,https://drive.google.com/uc?export=view&id=1AZXKqmYvaDlPDpc1ixOFHuaE9YwXJLhN,CLEANSING
28,https://drive.google.com/uc?export=view&id=1BOFsOirergCVxfLHBd2m1Nvbg8hZOINm,CLEANSING
29,https://drive.google.com/uc?export=view&id=1KfhRHdzCbyRyeomBIuGKXY7MsI43GMni,CLEANSING
30,https://drive.google.com/uc?export=view&id=1N9Up3zBb0wic8urE48PLL5LPJgf_EsCE,CLEANSING
31,https://drive.google.com/uc?export=view&id=1NONDe747IVDLyUHTmkY4wN5N423EWB6J,CLEANSING
32,https://drive.google.com/uc?export=view&id=1PEerrWBDKSeG1HtNTMuoUywtlkQL0ZQb,CLEANSING
33,https://drive.google.com/uc?export=view&id=1Qzrk75f3YY2X-PepGN0jf5qyVmkUsyc-,CLEANSING
34,https://drive.google.com/uc?export=view&id=1ReJsLLeas4Y1DCMhuPKXE2vTBEWqTGKs,CLEANSING
35,https://drive.google.com/uc?export=view&id=1X-1MTg9_r-_dTCiZzEYM8VmFcKO1SQbi,CLEANSING
36,https://drive.google.com/uc?export=view&id=1XDIuIQsv4wr-qWwOz89wNmCan7wWBT6y,CLEANSING
37,https://drive.google.com/uc?export=view&id=1XoA4nNV3NUXUKGYjBGycL5SMru5qmxTo,CLEANSING
38,https://drive.google.com/uc?export=view&id=1avSW3075cgRr4lkBrMgGGUZ_KJJdiYXl,CLEANSING
39,https://drive.google.com/uc?export=view&id=1ajWvEslpfXwJWf4xKRbd74314NfJ83Bs,CLEANSING
40,https://drive.google.com/uc?export=view&id=1d6yrtnihu_23XJI9rt0DcEo5bqQcqBGl,CLEANSING
41,https://drive.google.com/uc?export=view&id=1eBQ-PHn9bLLCYd1cN5fICd0e8Ri-X2wo,CLEANSING
42,https://drive.google.com/uc?export=view&id=1h27r0nK_C17KTm0XXa0xanKPL9xAyeke,CLEANSING
43,https://drive.google.com/uc?export=view&id=1knks6mVPssW9fdonCPt1TfEpG11dU5ns,CLEANSING
44,https://drive.google.com/uc?export=view&id=1mpNf5zyjiTklRBudnNQN71vp4xc48kJJ,CLEANSING
45,https://drive.google.com/uc?export=view&id=1oASXCW7LSJXfVcZZxKUs3_-JFhVzvyoR,CLEANSING
46,https://drive.google.com/uc?export=view&id=1qDgSpWHY-g20H9U3gUzrdjYgIdBa7fqv,CLEANSING
47,https://drive.google.com/uc?export=view&id=1raBYIUBz3T-ZkE4H-kZPfLJhzN-I1IHG,CLEANSING
48,https://drive.google.com/uc?export=view&id=1sXbJSdQDA9lZYR6Z-FRugFlrT7_gScUz,CLEANSING
49,https://drive.google.com/uc?export=view&id=1sZdNdDk2ovIFz6svtIAZNZHnzod1SHaK,CLEANSING
50,https://drive.google.com/uc?export=view&id=1tN7E26TeoSIXdloUq832yb1SYsDuL4E5,CLEANSING
51,https://drive.google.com/uc?export=view&id=1tT1jfqJl0HABL7FQNEnopXQypFw4uNWg,CLEANSING
52,https://drive.google.com/uc?export=view&id=1vuRUnqnr913xlharPnlzwZn5VTNzNE_V,CLEANSING
53,https://drive.google.com/uc?export=view&id=1xhEVk-Sr2UjGY0nqjmdB0BQ9-xYaPIMX,CLEANSING
1,https://drive.google.com/uc?export=view&id=1yY5z-nqBArFZGvvsO3Ha4p69MgEAshX_,DEPARTURE
2,https://drive.google.com/uc?export=view&id=1AAJaYq_V_OJniowHBIrps9aWJ5kpFwUR,DEPARTURE
3,https://drive.google.com/uc?export=view&id=1nE6Rqqvjmkm1rLGM0rWRco0-sZELxxc2,DEPARTURE
4,https://drive.google.com/uc?export=view&id=1U3KKfNZvSgPh2yKH98mMygXIzhn08eNm,DEPARTURE
5,https://drive.google.com/uc?export=view&id=1uM6Mogmm1X25ZdX5S445sau8YUxGlMDo,DEPARTURE
6,https://drive.google.com/uc?export=view&id=1otzuYx1SRKUjg_JSQZWkrTzFnaT-qbQA,DEPARTURE
7,https://drive.google.com/uc?export=view&id=1HqlUpyh8BwIHKqVAvsE208RGWfZx22Hv,DEPARTURE
8,https://drive.google.com/uc?export=view&id=1wtylEpwmFGmvVs25i6-o8f6EY65yBF_d,DEPARTURE
1,https://drive.google.com/uc?export=view&id=1ZVNbfqb0fVtRMAFNRLwHEJMOGVW7VW4J,ORDINATION
2,https://drive.google.com/uc?export=view&id=1VP8Nfnv7IUcwpVTsu_WU_NYmiCZAPyi1,ORDINATION
3,https://drive.google.com/uc?export=view&id=1SEbhiklxyqCFy2IMLTHkg7KVGKzTXF_d,ORDINATION
4,https://drive.google.com/uc?export=view&id=1_oG-CLov4FwqN81wFDqGHnY105tAt2Nn,ORDINATION
5,https://drive.google.com/uc?export=view&id=1q4yZjOdgGn6zkzXU8ObbsgjNfNjf4jgv,ORDINATION
6,https://drive.google.com/uc?export=view&id=1PbNZRhmeukEZNw8PnF-4L4DTDPpm_6fR,ORDINATION
7,https://drive.google.com/uc?export=view&id=18yWgDfNLGuRD01InLj6ZZrca5e-iB7ro,ORDINATION
8,https://drive.google.com/uc?export=view&id=1CuRQGG2NpZeXKyzt6RwAuVjSnzleieXh,ORDINATION
9,https://drive.google.com/uc?export=view&id=1kh-c_rvloOBogGMbNBq_fr5avpnGl8YT,ORDINATION
10,https://drive.google.com/uc?export=view&id=1fadM71L9vRO2RDuztqtwddzu6OambuHP,ORDINATION
11,https://drive.google.com/uc?export=view&id=1GkqxvLmJyOE23VW5weofHDtRJnf-g9mo,ORDINATION
12,https://drive.google.com/uc?export=view&id=1KqG1yxP4HLroYVM2rHtiCa0uPilEqpcM,ORDINATION
13,https://drive.google.com/uc?export=view&id=1nMMUgZEyGoUvMvmwxmPJ-RoTdw0FubKr,ORDINATION
14,https://drive.google.com/uc?export=view&id=14LYrItQvAjwnHn9Ueldfm_tVriYdfeLm,ORDINATION
15,https://drive.google.com/uc?export=view&id=14-rN1NBBYCaU1VIKG8MvIoL8A7VgKPaw,ORDINATION
16,https://drive.google.com/uc?export=view&id=1wRFNyvrdYhT5xnmppjAZEonUHef9xB0l,ORDINATION
17,https://drive.google.com/uc?export=view&id=1RwFjF36mKdF8-9dFI3CxN1i9LMwXPt_7,ORDINATION
18,https://drive.google.com/uc?export=view&id=1f2PQcOlhMCFBIuRKvJPxnMPLv1L3TOpK,ORDINATION
19,https://drive.google.com/uc?export=view&id=1xySd9NDU-6e99FFh5NPVdRp_FbJP1kgb,ORDINATION
20,https://drive.google.com/uc?export=view&id=18vgQBRTinx62X_EaStwi4OWJn8eU4cWj,ORDINATION
1,https://lh3.googleusercontent.com/pw/AJFCJaVbMmKGyELfll1b8v7yxuWPEaZ5wakicZ-M6pZNH7D2ERpnPencgOsJNgYqH_mKs_YI21rCz7LF-PRnjnPfFwuBuRwBH6RHByfTe-zsLHW6rpseAYA=w2400,ORDINATION EVENT
2,https://lh3.googleusercontent.com/pw/AJFCJaVrAx6-3kTGDU5h4TDl-3j5Qurmh9LphQeLyCeM8HVQ0FtnlQkY_5-QF1oLuWm3Y9qbEpe0Q3wgFZMwDmvhyNWwGWhF3462dJq6-Qa8nde3lNrY1_M=w2400,ORDINATION EVENT
3,https://lh3.googleusercontent.com/pw/AJFCJaVdc3uozR8JN5GBghhA8YSZs-5-Uxg_KbJnZwNUnDI4kq3FimUe1ipe6UpC_589jUdJi_vjHk6DBliGejrTdqmhu4Y6dM7--LEfgOchzlQK1qKomEI=w2400,ORDINATION EVENT
4,https://lh3.googleusercontent.com/pw/AJFCJaVdc3uozR8JN5GBghhA8YSZs-5-Uxg_KbJnZwNUnDI4kq3FimUe1ipe6UpC_589jUdJi_vjHk6DBliGejrTdqmhu4Y6dM7--LEfgOchzlQK1qKomEI=w2400,ORDINATION EVENT
5,https://lh3.googleusercontent.com/JKeUeElJ1GZSM9FKugAzKmSgK3w5IwisQ9J0we-LpWwDO63s6pnKIJA77MJtTV6Lb3BFbJ_gwiveYwkIaefXdtp5a6agqKNTuqF0G8QqY98xaSLlARBZPvz5Jpyb3Wltt0ERalxc3Q=w2400,ORDINATION EVENT
6,https://lh3.googleusercontent.com/adVUE2Ml7hzZG9D988fmLYIEeSiY1lMqK2LhEiJ-H_h1UPWyEju-CS3-lUdBgAoqjkT8hJdEOQvRotV-JMGNsq-n5s5QrLnGtgOtakjxJryEaF2CGmRMCRCGcD83IY9ZP5RuDENqEg=w2400,ORDINATION EVENT
7,https://lh3.googleusercontent.com/Tk8zRMXMm-3uXTxoRyI1ntr7S7dAd4UDyQceu8RaWZmAFedM9rcAlpEpp-B99n47xNuvtM7VT9sd6zcTkNzqRL652yQ4XD7IFgzaNrp4QKPGw0AhpURTc-gBheroQgd7DrttQ_WsAQ=w2400,ORDINATION EVENT
8,https://lh3.googleusercontent.com/E9oKlne9TmlR1LXu4uXg7vGB17IZkVrhNmJdaSTrYQlx917muKuEU9fRdS5T_NVW7cXku8dFBEAoA64ydUDnW4hDm9V8cC5VkwAAmkM6IRyzn7_lrHCyOfAlpj8MqsCGQ_TFtrpKGw=w2400,ORDINATION EVENT
9,https://lh3.googleusercontent.com/1wcMfPbueyIcYlmLVHxH_jJVg0ZM5ePUAtHu7NlG_IEjhrVe6qnLYE4XqQ2F8HWhVyZe3Qvu5ULaGSn-RH1k_angAf21VC6nOVC-fITJo_G6n2GUyVQsYRb8JQYjlsKto1y7C1vy8A=w2400,ORDINATION EVENT
10,https://lh3.googleusercontent.com/_59Y22uoKeOAgYH05R1jm0OMeuUtlhPr9gpA94N8JNPrbe_ydrhT6j-BDRTJbFJcdpjxw38iRmDHVZJNIr7j3HtKjzpdSE9P5NHHpY9T8rM6nMAUKpweqIBcs9YIj5dD0U7qOoZcYQ=w2400,ORDINATION EVENT
